intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
,,,,,,,Yes/No,#,# - #,,#,#,,autistic/control/healthy/etc,".set, .fdt, .iqdat, etc",EEG/MEG/iEEG/ ,"fMRI, behavioral, eye tracking, etc",,,,,,,,,,,,,,,,,,,,#,,#,#,#,#,#,#,#,#,#,ERP/continuous data,Visual/Audio/etc.,,Emotion/Decision/Attentional/Motor/Etc,,,,yes/no,,,y/n,y/n,,,,,,,True/False,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Useable Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna,ds005342,,,,,,No,32,19 - 29,2.0 GB,134,1,0,Healthy,.set ,EEG,n/a,X,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,continous ,Visual ,Visual,Motor Imagery,Motor,sitstand,,,Bogota,Colombia,Y ,Y ,2024-07-15 19:31:33,Nayid Triana Guzman,2024-07-15 19:07:42,doi:10.18112/openneuro.ds005342.v1.0.3,"Triana-Guzman N, Orjuela-Cañon AD, Jutinico AL, Mendoza-Montoya O and Antelis JM (2022) Decoding EEG rhythms offline and online during motor imagery for standing and sitting based on a brain-computer interface. Front. Neuroinform. 16:961089. https://doi.org/10.3389/fninf.2022.961089",CC0,FALSE,"This research was funded by Ministerio de Ciencia, Tecnología e Innovación of Colombia-Minciencias/Colciencias, contract 594-2019, project 80740-594-2019, and in part by the University of Illinois Chicago and Tecnologico de Monterrey (UIC-TEC) Seed funding Program 2021-2022",The experimental protocol was approved by the ethics committee of the Universidad Antonio Nariño,
Liz,ds000248,n/a,,FALSE,,,No,1,,0 TB,22,1,1,Healthy,.fif,"MEG, MRI",behavioral,,X,,X,,X,,,,,,,,,,,,,,60,other,306,,,,1,,,9,,continuous,Audiovisual ,Multisensory,motion coherence,Perception,"audiovisual, noise",,1.4.0,Palaiseau,France,Y,Y,2018-03-30 14:58:53,Mainak Jas,,10.18112/openneuro.ds000248.v1.2.4,https://doi.org/10.1016/j.neuroimage.2014.02.017 ===NEMAR-SEP=== https://doi.org/10.3389/fnins.2013.00267 ===NEMAR-SEP=== https://mne.tools/stable/overview/datasets\_index.html#sample,CC0,TRUE,NIH 5R01EB009048 ===NEMAR-SEP=== NIH 1R01EB009048 ===NEMAR-SEP=== NIH R01EB006385 ===NEMAR-SEP=== NIH 1R01HD40712 ===NEMAR-SEP=== NIH 1R01NS44319 ===NEMAR-SEP=== NIH 2R01NS37462 ===NEMAR-SEP=== NIH P41EB015896 ===NEMAR-SEP=== ANR-11-IDEX-0003-02 ===NEMAR-SEP=== ERC-StG-263584 ===NEMAR-SEP=== ERC-StG-676943 ===NEMAR-SEP=== ANR-14-NEUC-0002-01,,
Liz,ds000117,n/a,,FALSE,,,No,16,23-31,84.8 GB,1671,2,29,Healthy,".bval, .bvec, .fif, .nii, .pos","MRI, MEG",behavioral,,X,,X,,X,,,,,,,,,,,,,,60,other,306,1,,,2,,,3,12,continuous,Visual,Visual,visual perception,Perception,facerecognition,,1.0.2,Massachusetts,United States,Y,Y,2018-03-30 13:14:28,Richard Henson,,doi:10.18112/openneuro.ds000117.v1.0.6,https://www.ncbi.nlm.nih.gov/pubmed/25977808 ===NEMAR-SEP=== https://openfmri.org/dataset/ds000117/ ===NEMAR-SEP=== ftp://ftp.mrc-cbu.cam.ac.uk/personal/rik.henson/wakemandg_hensonrn/Publications/,CC0,TRUE,"UK Medical Research Council (SUAG/010 RG91365), Elekta Ltd.",The study was approved by Cambridge University Psychological Ethics Committee. ,Yes
Liz,ds000247,n/a,,FALSE,,,No,5,21-35,10.3 GB,190,1,1,,".acq, .bak, .cfg, .cls, .de, .dsc, .hc, .hist, .infods, .meg4, .newds, .pos, .res4, .segments, .ds","MEG, MRI",n/a,,X,,X,,,,,,,,,,,,,,,,,other,270,1,,,2,26,,,,continuous,Resting state  ,Resting state  ,Resting state  ,Neuroimaging,"rest, noise",,1.0.2,Quebec,Canada,N,N,2018-03-30 18:40:38,Julia Guiomar Niso Galán,,doi:10.18112/openneuro.ds000247.v1.0.2,"Niso G., Rogers C., Moreau J.T., Chen L.Y., Madjar C., Das S., Bock E., Tadel F., Evans A.C., Jolicoeur P., Baillet S. (2016). OMEGA: The Open MEG Archive. NeuroImage 124, 1182-1187. doi: https://doi.org/10.1016/j.neuroimage.2015.04.028. ===NEMAR-SEP=== https://www.mcgill.ca/bic/resources/omega ===NEMAR-SEP=== https://openneuro.org/datasets/ds000247",CC0,TRUE,Quebec Bioimaging Network Strategic Initiative (QBIN 5886),n/a,n/a
Liz,ds001784,"This dataset is not EEG-compliant. It uses the FIF file format to store data (while it is not an MEG dataset). Also, 6 of the 30 subjects do not have defined channel locations. It is likely that the locations of other subjects can be used for the ones who do not have channel locations.",,FALSE,,,No,14,,0 TB,76,1,0,Treatment Resistant Depression w DBS,.fif,"DBS, MRI (T1w), beh, channels",behavioral,X,,,X,,X,,,X,,,,,,,,,,,60,10-20,,,,,1,,,4,,continuous,"Visual, Spatial, Emotional",Multisensory,Cognitive flexibility,Learning,"MSIT block DBS On, MSIT block DBS Off",,1.2.0,Maryland,United States,N,N,2019-03-08 5:11:02,Sam Zorowitz,,10.18112/openneuro.ds001784.v1.1.2,"Widge, A. S., Zorowitz, S., Basu, I., Paulk, A. C., Cash, S. S., Eskandar, E. N., Deckersbach, T., Miller, E. K., Dougherty, D. D. Deep Brain Stimulation of the Internal Capsule Enhances Human Cognitive Control and Prefrontal Cortex Function. https://doi.org/10.1038/s41467-019-09557-4 ===NEMAR-SEP=== Widge, A. S., Zorowitz, S., Link, K., Miller, E. K., Deckersbach, T., Eskandar, E. N., & Dougherty, D. D. (2016). Ventral capsule/ventral striatum deep brain stimulation does not consistently diminish occipital cross-frequency coupling. Biological psychiatry, 80(7), e59-e60. http://doi.org/10.1016/j.biopsych.2015.10.029",CC0,TRUE,"This work was supported by grants from the Brain & Behavior Research Foundation, Picower Family Foundation, MIT Picower Institute Innovation Fund, Defense Advanced Research Projects Agency (DARPA) under Cooperative Agreement Number W911NF-14-2-0045 issued by the Army Research Organization (ARO) contracting office in support of DARPA's SUBNETS Program, Office of Naval Research MURI N00014-16-1-2832, and National Institutes of Health (R21MH109722; R03MH111320; UH3NS100548; R37MH087027). The views, opinions, and findings expressed are those of the authors. They should not be interpreted as representing the official views or policies of the Department of Defense, Department of Health & Human Services, any other branch of the U.S. Government, or any other funding entity.",Study procedures were reviewed and approved by the Massachusetts General Hospital Institutional Review Board.,Yes
Liz,ds001784,"This dataset is not EEG-compliant. It uses the FIF file format to store data (while it is not an MEG dataset). Also, 6 of the 30 subjects do not have defined channel locations. It is likely that the locations of other subjects can be used for the ones who do not have channel locations.",,FALSE,,,No,14,,0 TB,76,1,0,Treatment Resistant Depression w DBS,.fif,"DBS, MRI (T1w), beh, channels",behavioral,X,,,X,,X,,,X,,,,,,,,,,,60,10-20,,,,,1,,,4,,continuous,resting,Resting State,Resting State,Neuroimaging,"REST DBS on, Rest DBS off",,1.2.0,Maryland,United States,N,N,2019-03-08 5:11:02,Sam Zorowitz,,10.18112/openneuro.ds001784.v1.1.2,"Widge, A. S., Zorowitz, S., Basu, I., Paulk, A. C., Cash, S. S., Eskandar, E. N., Deckersbach, T., Miller, E. K., Dougherty, D. D. Deep Brain Stimulation of the Internal Capsule Enhances Human Cognitive Control and Prefrontal Cortex Function. https://doi.org/10.1038/s41467-019-09557-4 ===NEMAR-SEP=== Widge, A. S., Zorowitz, S., Link, K., Miller, E. K., Deckersbach, T., Eskandar, E. N., & Dougherty, D. D. (2016). Ventral capsule/ventral striatum deep brain stimulation does not consistently diminish occipital cross-frequency coupling. Biological psychiatry, 80(7), e59-e60. http://doi.org/10.1016/j.biopsych.2015.10.029",CC0,TRUE,"This work was supported by grants from the Brain & Behavior Research Foundation, Picower Family Foundation, MIT Picower Institute Innovation Fund, Defense Advanced Research Projects Agency (DARPA) under Cooperative Agreement Number W911NF-14-2-0045 issued by the Army Research Organization (ARO) contracting office in support of DARPA's SUBNETS Program, Office of Naval Research MURI N00014-16-1-2832, and National Institutes of Health (R21MH109722; R03MH111320; UH3NS100548; R37MH087027). The views, opinions, and findings expressed are those of the authors. They should not be interpreted as representing the official views or policies of the Department of Defense, Department of Health & Human Services, any other branch of the U.S. Government, or any other funding entity.",Study procedures were reviewed and approved by the Massachusetts General Hospital Institutional Review Board.,Yes
Liz,ds001785,n/a,,TRUE,,,No,18,18-34,0.027 TB,242,1,2,Healthy,".fdt, .set, .TRC",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,10-20,,,,,4,,,,,continuous,"Vibration stimulus, visual",Tactile,perceptual consciousness and monitoring,Perception,tactile detection,,1.1.1,Geneva,Switzerland,Y,Y,2021-02-26 13:26:53,Michael Pereira,,10.18112/openneuro.ds001785.v1.1.1,List of papers or websites,CC0,TRUE,Bertarelli Foundation ===NEMAR-SEP=== Swiss National Science Foundation ===NEMAR-SEP=== European Research Council (ERC),The present study was approved by the Commission Cantonale d’Ethique de la Recherche de la République et Canton de Genève (2016-01856).,Yes
