participant_id	age	gender	NoveltySeeking	ExploratoryExcitability	Impulsiveness	Extravagance	Disorderliness	HarmAvoidance	AnticipatoryWorry	FearofUncertainty	Shyness	Fatigability	RewardDependence	Sentimentality	OpennesstoWarmCommunication	Attachment	Dependence	Persistence	EagernessofEffort	WorkHardened	Ambitiousness	Perfectionist	SelfDirectedness	Responsibility	Purposefulness	Resourcefulness	SelfAcceptance	EnlightenedSecondNature	Cooperativeness	SocialAcceptance	Empathy	Helpfulness	Compassion	PureHeartedness	SelfTranscendence	SelfForgetfulness	TranspersonalIdentification	SpiritualAcceptance
sub-001	41	M	60	64	52	62	44	46	35	35	63	53	41	23	51	51	42	46	45	52	45	44	55	59	64	60	40	55	56	47	56	46	57	62	71	66	71	65
sub-002	61	F	62	68	71	45	51	36	38	37	41	41	58	44	60	57	60	50	43	56	52	48	63	55	59	63	66	56	65	67	52	58	65	59	67	65	71	58
sub-003	60	M	58	47	58	56	61	51	52	52	56	44	29	23	35	46	33	34	34	38	38	33	45	45	50	47	47	42	41	53	37	46	45	35	47	54	40	47
sub-004	61	M	43	47	56	31	54	66	55	62	69	64	32	65	24	31	36	63	55	58	68	65	54	59	57	56	40	59	51	50	63	43	55	46	60	68	51	55
sub-005	51	M	60	53	64	62	44	42	50	41	44	39	44	26	54	55	39	47	47	58	40	46	67	63	59	66	67	58	59	59	44	67	61	51	58	58	47	62
sub-006	64	F	38	36	41	39	56	67	70	66	63	53	44	42	51	42	42	36	36	34	36	48	29	33	32	27	42	31	40	17	52	40	47	53	48	52	44	47
sub-007	66	F	74	55	71	67	70	21	25	23	34	28	59	61	60	48	54	64	64	65	55	65	66	63	64	69	56	64	67	67	67	70	59	57	64	59	71	56
sub-008	39	M	48	60	60	29	51	50	47	48	59	46	54	51	54	55	51	58	51	54	61	63	46	39	50	53	56	37	51	44	48	55	51	53	68	72	65	58
sub-009	23	F	42	60	37	35	51	54	63	64	31	55	54	65	56	40	48	68	66	67	64	68	55	55	57	56	52	51	63	56	63	67	59	57	58	63	61	47
sub-010	56	F	53	64	52	45	49	39	41	35	46	44	56	56	50	55	60	58	53	54	57	63	55	59	62	56	47	51	60	50	60	55	59	62	72	73	69	62
sub-011	52	F	61	57	58	51	65	49	35	56	56	52	46	33	50	59	42	22	22	28	27	26	49	67	42	37	37	58	58	35	44	61	65	66	73	75	65	65
sub-012	60	F	59	66	60	61	32	28	31	37	36	28	54	40	58	57	54	64	64	58	55	72	68	63	69	66	53	70	69	64	56	67	65	66	72	70	65	68
sub-013	23	F	51	64	46	39	58	63	64	58	63	53	61	56	56	59	63	40	41	43	38	44	45	47	40	40	54	42	70	70	67	73	61	57	63	61	59	62
sub-014	23	F	69	66	54	67	63	38	33	50	46	37	70	63	63	70	63	52	43	56	62	46	62	67	59	53	52	62	65	61	63	76	61	48	73	65	73	68
sub-015	53	F	69	64	79	53	56	52	55	41	53	55	56	49	50	62	60	44	49	41	43	46	55	51	52	53	52	61	53	50	52	55	45	59	68	63	67	63
sub-016	43	F	75	79	62	64	63	51	60	41	46	53	57	47	58	62	51	57	58	49	61	55	53	67	67	60	52	30	57	41	48	70	51	64	71	73	61	65
sub-017	56	F	59	81	44	54	44	37	41	50	36	34	67	44	69	70	60	48	58	47	40	48	76	69	69	66	68	72	69	79	75	73	59	46	71	68	69	63
sub-018	36	F	64	60	62	64	49	68	67	75	48	69	33	28	35	51	36	40	26	43	55	39	52	57	64	63	29	58	59	76	63	55	47	51	56	59	42	59
sub-019	23	F	65	62	64	56	58	54	50	43	68	50	44	49	40	46	51	44	36	54	48	42	46	49	45	53	49	42	49	53	48	55	41	51	59	70	53	50
sub-020	46	F	62	64	52	53	65	34	39	33	41	37	61	54	64	59	48	49	49	43	57	46	61	59	62	60	46	69	67	73	67	58	61	59	66	65	69	58
