participant_id	session	age	sex
sub-ccepAgeUMCU01	ses-1	15	male
sub-ccepAgeUMCU02	ses-1	35	female
sub-ccepAgeUMCU03	ses-1	25	male
sub-ccepAgeUMCU04	ses-1	4	male
sub-ccepAgeUMCU05	ses-1	17	female
sub-ccepAgeUMCU06	ses-1	26	male
sub-ccepAgeUMCU07	ses-1	10	female
sub-ccepAgeUMCU08	ses-1	9	female
sub-ccepAgeUMCU09	ses-1b	21	male
sub-ccepAgeUMCU10	ses-1	15	male
sub-ccepAgeUMCU11	ses-1	5	male
sub-ccepAgeUMCU12	ses-1	14	male
sub-ccepAgeUMCU13	ses-1	45	male
sub-ccepAgeUMCU14	ses-1	10	female
sub-ccepAgeUMCU15	ses-1	15	male
sub-ccepAgeUMCU16	ses-1	42	female
sub-ccepAgeUMCU17	ses-1	4	male
sub-ccepAgeUMCU18	ses-1	15	female
sub-ccepAgeUMCU19	ses-1	25	female
sub-ccepAgeUMCU20	ses-1	11	male
sub-ccepAgeUMCU21	ses-1	12	female
sub-ccepAgeUMCU22	ses-1	9	female
sub-ccepAgeUMCU23	ses-1	14	female
sub-ccepAgeUMCU24	ses-1	17	male
sub-ccepAgeUMCU25	ses-1	16	male
sub-ccepAgeUMCU26	ses-1	7	male
sub-ccepAgeUMCU27	ses-1	49	male
sub-ccepAgeUMCU28	ses-1	11	male
sub-ccepAgeUMCU29	ses-1	13	male
sub-ccepAgeUMCU30	ses-1	14	female
sub-ccepAgeUMCU31	ses-1	41	female
sub-ccepAgeUMCU32	ses-1	8	female
sub-ccepAgeUMCU33	ses-1	18	male
sub-ccepAgeUMCU34	ses-1	7	female
sub-ccepAgeUMCU35	ses-1	22	female
sub-ccepAgeUMCU36	ses-1	8	male
sub-ccepAgeUMCU37	ses-1	28	male
sub-ccepAgeUMCU38	ses-1	21	male
sub-ccepAgeUMCU39	ses-1	14	male
sub-ccepAgeUMCU40	ses-1	42	female
sub-ccepAgeUMCU41	ses-1	34	male
sub-ccepAgeUMCU42	ses-1	17	male
sub-ccepAgeUMCU43	ses-1	18	female
sub-ccepAgeUMCU44	ses-1	34	female
sub-ccepAgeUMCU45	ses-1	22	male
sub-ccepAgeUMCU46	ses-1	36	female
sub-ccepAgeUMCU47	ses-1	30	female
sub-ccepAgeUMCU48	ses-1	18	female
sub-ccepAgeUMCU49	ses-1	14	male
sub-ccepAgeUMCU50	ses-1	7	male
sub-ccepAgeUMCU51	ses-1	17	male
sub-ccepAgeUMCU52	ses-1	44	male
sub-ccepAgeUMCU53	ses-1	26	female
sub-ccepAgeUMCU54	ses-1	9	female
sub-ccepAgeUMCU55	ses-1	14	male
sub-ccepAgeUMCU56	ses-1	30	female
sub-ccepAgeUMCU57	ses-1	30	female
sub-ccepAgeUMCU58	ses-1	15	female
sub-ccepAgeUMCU59	ses-1	50	female
sub-ccepAgeUMCU60	ses-1	15	male
sub-ccepAgeUMCU61	ses-1	5	female
sub-ccepAgeUMCU62	ses-1b	8	male
sub-ccepAgeUMCU63	ses-1	33	female
sub-ccepAgeUMCU64	ses-1	36	male
sub-ccepAgeUMCU65	ses-1	17	female
sub-ccepAgeUMCU66	ses-1	35	male
sub-ccepAgeUMCU67	ses-1	6	female
sub-ccepAgeUMCU68	ses-1	6	female
sub-ccepAgeUMCU69	ses-1	51	female
sub-ccepAgeUMCU70	ses-1	38	female
sub-ccepAgeUMCU71	ses-1	21	female
sub-ccepAgeUMCU72	ses-1	27	female
sub-ccepAgeUMCU73	ses-1	23	male
sub-ccepAgeUMCU74	ses-1	50	female
