participant_id	age	gender	handedness
sub-001	23	male	right
sub-002	22	male	right
sub-003	23	male	right
sub-004	24	male	right
sub-005	23	male	right
sub-006	22	male	right
sub-007	22	male	right
sub-008	22	male	right
sub-009	23	male	right
sub-010	21	female	left
sub-011	23	male	right
sub-012	33	male	right
sub-013	21	male	right
sub-014	23	male	right
sub-015	22	male	right
sub-016	22	male	right
sub-017	23	male	right
sub-018	21	male	right
sub-019	23	female	right
sub-020	50	female	right
sub-021	20	male	right
sub-022	23	male	right
sub-023	22	male	right
sub-024	22	female	right
sub-025	21	male	right
sub-026	20	male	right
sub-027	22	male	right
sub-028	58	male	right
sub-029	21	male	right
sub-030	23	male	right
sub-031	23	male	right
sub-032	23	male	right
sub-033	22	male	right
sub-034	21	male	right
sub-035	21	male	right
sub-036	22	male	right
sub-037	22	female	right
sub-038	20	male	right
sub-039	21	male	right
sub-040	23	male	right
sub-041	23	male	right
sub-042	22	male	right
sub-043	21	female	right
sub-044	54	female	right
sub-045	22	male	right
sub-046	24	male	right
sub-047	24	male	right
sub-048	25	male	right
sub-049	23	male	right
sub-050	23	male	right
sub-051	24	male	right
sub-052	22	male	right
sub-053	21	male	right
sub-054	19	male	right
sub-055	22	male	right
sub-056	24	male	right
