participant_id	sex	age
sub-S200116	F	22
sub-S200120	F	23
sub-S200121	F	22
sub-S200122	M	23
sub-S200131	F	26
sub-S200205	F	22
sub-S200207	F	22
sub-S200211	M	21
sub-S200212	M	24
sub-S200214	M	25
sub-S200217	M	25
sub-S200221	M	23
sub-S200225	F	22
sub-S200228	F	20
sub-S200302	M	23
sub-S200303	F	23
sub-S200306	F	21
sub-S200309	F	21
sub-S200310	M	21
sub-S200311	M	24
sub-S200313	M	22
sub-S201105	F	24
sub-S201118	M	22
sub-S201120	M	24
sub-S201126	M	35
sub-S201210	M	25
sub-S2012122	M	23
sub-S201223	M	25
sub-S210118	M	30
sub-S210120	F	33
sub-S210127	F	23
sub-S210128	F	40
sub-S210202	M	22
sub-S210203	M	31
sub-S210204	F	23
sub-S210208	M	23
sub-S210209	M	24
sub-S210215	F	28
sub-S210217	F	30
sub-S210224	F	29
sub-S210225	M	22
sub-S210315	F	28
sub-S210316	F	43
sub-S210317	M	26
