participant_id	age	sex	handedness
sub-001	16.1	m	n/a
sub-002	4.6	f	n/a
sub-003	10.5	f	n/a
sub-004	5.1	f	n/a
sub-005	14.9	m	n/a
sub-006	9.9	f	n/a
sub-007	17.5	f	n/a
sub-008	15.5	f	n/a
sub-009	8.800000000000001	m	n/a
sub-010	14.3	f	n/a
sub-011	14.9	m	n/a
sub-012	14.3	m	n/a
sub-013	17.6	f	n/a
sub-014	10.7	m	n/a
sub-015	8.300000000000001	f	n/a
sub-016	8.699999999999999	m	n/a
sub-017	11.9	f	n/a
sub-018	16.9	m	n/a
sub-019	18.4	f	n/a
sub-020	17.7	m	n/a
sub-021	5.9	m	n/a
sub-022	9.5	f	n/a
sub-023	17.8	m	n/a
sub-024	14.6	m	n/a
sub-025	15.7	m	n/a
sub-026	6.3	f	n/a
sub-027	3.6	f	n/a
sub-028	11.3	f	n/a
sub-029	4.5	m	n/a
sub-030	10.2	m	n/a
sub-031	10.5	m	n/a
sub-032	5.1	m	n/a
sub-033	16.5	f	n/a
sub-034	16.9	m	n/a
sub-035	2.3	f	n/a
sub-036	5.2	m	n/a
sub-037	21.9	f	n/a
sub-038	15.3	f	n/a
sub-039	14.2	f	n/a
sub-040	41.5	f	n/a
sub-041	12.5	m	n/a
sub-042	10.7	m	n/a
sub-043	10.7	m	n/a
sub-044	7.7	m	n/a
sub-045	12	m	n/a
sub-046	9.300000000000001	f	n/a
sub-047	17.1	m	n/a
sub-048	15.6	f	n/a
sub-049	6.9	f	n/a
sub-050	4.6	m	n/a
sub-051	19.8	f	n/a
sub-052	5.9	f	n/a
sub-053	10.8	f	n/a
sub-054	9.4	f	n/a
sub-055	2.8	m	n/a
sub-056	30.8	m	n/a
sub-057	13.7	m	n/a
sub-058	12.9	m	n/a
sub-059	11.9	f	n/a
sub-060	10.2	f	n/a
sub-061	1.8	f	n/a
sub-062	17.3	m	n/a
sub-063	8.6	f	n/a
sub-064	17.5	f	n/a
sub-065	1.8	m	n/a
sub-066	14.5	m	n/a
sub-067	8.4	m	n/a
sub-068	12	f	n/a
sub-069	11.9	f	n/a
sub-070	11.7	f	n/a
sub-071	15.8	m	n/a
sub-072	3.3	m	n/a
sub-073	1.8	m	n/a
sub-074	19.7	f	n/a
sub-075	11.6	f	n/a
sub-076	12.6	f	n/a
sub-077	17.8	m	n/a
sub-078	2.8	f	n/a
sub-079	11.8	f	n/a
sub-080	1.9	m	n/a
sub-081	17.7	m	n/a
sub-082	1	m	n/a
sub-083	11.9	m	n/a
sub-084	15.6	m	n/a
sub-085	6.8	m	n/a
sub-086	15.9	m	n/a
sub-087	10.6	m	n/a
sub-088	3.3	m	n/a
sub-089	10.3	m	n/a
sub-090	1	f	n/a
sub-091	12.8	f	n/a
sub-092	8.5	m	n/a
sub-093	1.3	m	n/a
sub-094	14.5	f	n/a
sub-095	19.3	m	n/a
sub-096	4.3	f	n/a
sub-097	16.5	f	n/a
sub-098	5	f	n/a
sub-099	15.1	f	n/a
sub-100	8.4	m	n/a
sub-101	14.8	f	n/a
sub-102	5.9	f	n/a
sub-103	2	f	n/a
sub-104	13.3	m	n/a
sub-105	9.4	m	n/a
sub-106	13.4	m	n/a
sub-107	11.3	m	n/a
sub-108	13.1	f	n/a
sub-109	16.7	m	n/a
sub-110	11	m	n/a
sub-111	17.5	m	n/a
sub-112	13.3	m	n/a
sub-113	7.9	f	n/a
sub-114	8.699999999999999	f	n/a
