participant_id	sex
sub-NORB00001	M
sub-NORB00002	M
sub-NORB00003	F
sub-NORB00004	M
sub-NORB00005	M
sub-NORB00006	M
sub-NORB00007	M
sub-NORB00008	M
sub-NORB00009	F
sub-NORB00010	M
sub-NORB00011	M
sub-NORB00012	F
sub-NORB00013	M
sub-NORB00014	M
sub-NORB00015	F
sub-NORB00016	M
sub-NORB00017	M
sub-NORB00018	M
sub-NORB00019	F
sub-NORB00020	M
sub-NORB00021	M
sub-NORB00022	M
sub-NORB00023	M
sub-NORB00024	M
sub-NORB00025	F
sub-NORB00026	M
sub-NORB00027	M
sub-NORB00028	M
sub-NORB00029	F
sub-NORB00030	M
sub-NORB00031	F
sub-NORB00032	F
sub-NORB00033	F
sub-NORB00034	F
sub-NORB00035	F
sub-NORB00036	F
sub-NORB00037	M
sub-NORB00038	M
sub-NORB00039	M
sub-NORB00040	M
sub-NORB00041	F
sub-NORB00042	F
sub-NORB00043	F
sub-NORB00044	F
sub-NORB00045	F
sub-NORB00046	F
sub-NORB00047	M
sub-NORB00048	M
sub-NORB00049	M
sub-NORB00050	F
sub-NORB00051	F
sub-NORB00052	F
sub-NORB00053	M
sub-NORB00054	M
sub-NORB00055	M
sub-NORB00056	M
sub-NORB00057	F
sub-NORB00058	F
sub-NORB00059	M
sub-NORB00060	M
sub-NORB00061	F
sub-NORB00062	M
sub-NORB00063	F
sub-NORB00064	M
sub-NORB00065	M
sub-NORB00066	F
sub-NORB00067	M
sub-NORB00068	M
sub-NORB00069	F
sub-NORB00070	M
sub-NORB00071	F
sub-NORB00072	M
sub-NORB00073	M
sub-NORB00074	M
sub-NORB00075	M
sub-NORB00076	M
sub-NORB00077	M
sub-NORB00078	M
sub-NORB00079	M
sub-NORB00080	M
sub-NORB00081	F
sub-NORB00082	M
sub-NORB00083	F
sub-NORB00084	F
sub-NORB00085	F
sub-NORB00086	M
sub-NORB00087	M
sub-NORB00088	M
sub-NORB00089	M
sub-NORB00090	F
sub-NORB00091	M
sub-NORB00092	M
sub-NORB00093	F
sub-NORB00094	F
sub-NORB00095	M
sub-NORB00096	M
sub-NORB00097	F
sub-NORB00098	M
sub-NORB00099	F
sub-NORB00100	F
sub-NORB00101	M
sub-NORB00102	F
sub-NORB00103	F
