participant_id	sex	age
sub-FFE001	M	40
sub-FFE002	F	21
sub-FFE003	F	21
sub-FFE004	M	29
sub-FFE005	F	21
sub-FFE006	F	23
sub-FFE007	M	21
sub-FFE008	M	24
sub-FFE009	M	29
sub-FFE010	F	40
sub-FFE011	F	26
sub-FFE012	M	25
sub-FFE013	M	37
sub-FFE014	F	27
sub-FFE015	M	29
sub-FFE016	F	23
sub-FFE017	F	25
sub-FFE018	M	23
sub-FFE019	F	24
sub-FFE020	M	24
sub-FFE021	F	27
sub-FFE022	M	23
sub-FFE023	F	30
sub-FFE024	M	23
sub-FFE025	M	40
sub-FFE026	F	26
sub-FFE027	F	25
sub-FFE028	M	22
sub-FFE029	M	33
sub-FFE030	M	30
sub-FFE031	M	26
sub-FFE032	M	29
sub-FFE033	F	35
sub-FFE034	M	24
sub-FFE035	M	26
sub-FFE036	M	27
sub-FFE037	F	27
sub-FFE038	F	27
sub-FFE039	F	23
sub-FFE040	M	22
sub-FFE041	M	35
sub-FFE042	F	37
sub-FFE043	M	24
sub-FFE044	F	31
sub-FFE045	F	21
sub-FFE046	F	37
sub-FFE047	F	25
sub-FFE048	M	30
sub-FFE049	M	23
sub-FFE050	M	24
sub-FFE051	M	28
sub-FFE052	M	23
sub-FFE053	M	21
sub-FFE054	M	23
sub-FFE055	F	25
sub-FFE056	M	25
sub-FFE057	F	23
sub-FFE058	F	24
sub-FFE059	F	22
sub-FFE060	M	24
sub-FFE061	F	22
sub-FFE062	F	22
sub-FFE063	F	30
sub-FFE064	F	24
sub-FFE065	F	24
sub-FFE066	M	23
sub-FFE110	M	31
sub-FFE111	F	22
sub-FFE113	M	22
sub-FFE114	F	24
sub-FFE115	F	28
sub-FFE116	M	24
sub-FFE117	F	22
sub-FFE119	F	22
sub-FFE120	F	29
sub-FFE121	M	24
sub-FFE122	F	22
sub-FFE123	F	24
sub-FFE126	M	24
sub-FFE127	F	22
sub-FFE128	F	30
sub-FFE129	M	32
sub-FFE130	F	30
sub-FFE131	F	23
sub-FFE132	F	23
sub-FFE134	M	32
sub-FFE135	M	34
sub-FFE136	F	23
sub-FFE137	M	25
sub-FFE138	M	30
sub-FFE139	M	27
sub-FFE140	F	22
sub-FFE141	F	24
sub-FFE143	M	35
sub-FFE144	F	24
sub-FFE146	M	24
sub-FFE147	M	30
sub-FFE148	F	26
sub-FFE149	M	27
sub-FFE150	F	23
sub-FFE151	F	24
sub-FFE152	M	21
sub-FFE153	F	22
