participant_id	gender	age	handedness	speed
sub-001	M	32	R	0.8600000000
sub-002	M	29	R	0.8700000000
sub-003	M	21	R	0.9100000000
sub-004	F	20	R	0.6700000000
sub-005	F	20	R	0.7800000000
sub-006	M	26	R	1.2000000000
sub-007	F	23	R	0.7000000000
sub-008	M	23	R	0.9200000000
sub-009	M	24	R	0.6900000000
sub-010	F	20	R	0.7500000000
sub-011	F	25	R	0.5100000000
sub-012	M	21	R	0.7600000000
sub-013	F	21	R	0.5900000000
sub-014	F	22	R	0.6800000000
sub-015	F	20	R	0.9100000000
sub-016	F	20	R	0.8000000000
sub-017	F	21	R	0.5000000000
sub-018	M	22	R	0.6000000000
sub-019	M	26	R	0.5400000000
sub-020	M	20	L	0.6100000000
sub-021	F	24	R	0.5400000000
sub-022	M	22	R	0.3400000000
sub-023	M	24	L	0.6400000000
sub-024	F	26	R	0.6900000000
sub-025	M	26	R	0.8200000000
sub-026	F	30	R	0.4900000000
sub-027	F	28	R	0.6400000000
sub-028	M	25	R	0.6100000000
sub-029	M	35	R	0.7700000000
sub-030	F	28	L	0.6300000000
sub-031	F	27	R	0.7700000000
sub-032	M	20	R	0.7000000000
