participant_id	date	age	handedness	gender
sub-01	2020-01-13	19	R	F
sub-02	2020-01-13	19	R	F
sub-03	2020-01-13	25	R	M
sub-04	2020-01-14	21	R	F
sub-05	2020-01-16	19	R	F
sub-06	2020-01-16	20	R	F
sub-07	2020-01-17	21	R	F
sub-08	2020-01-17	21	R	F
sub-09	2020-01-21	23	L	F
sub-10	2020-01-21	21	R	F
sub-11	2020-01-22	27	R	F
sub-12	2020-01-22	21	R	F
sub-13	2020-01-24	20	R	F
sub-14	2020-01-29	36	R	F
sub-15	2020-01-30	26	R	F
sub-16	2020-01-31	20	R	F
sub-17	2020-01-31	22	R	F
sub-18	2020-02-12	21	R	F
sub-19	2020-02-13	26	R	M
sub-20	2020-02-19	21	R	M
