participant_id	age	gender	inclusion_analysis	respcode	stimorder
sub-101	19	M	0	1	1
sub-102	22	F	1	1	1
sub-103	20	F	1	1	1
sub-104	19	F	1	1	1
sub-105	20	F	1	1	1
sub-106	21	F	1	1	1
sub-107	22	F	1	1	1
sub-108	19	F	0	1	1
sub-109	20	F	1	1	1
sub-110	23	F	1	1	1
sub-111	21	F	1	1	1
sub-112	22	F	1	1	1
sub-113	26	M	0	2	1
sub-114	20	M	1	2	1
sub-115	20	F	1	2	1
sub-116	20	F	1	2	1
sub-117	19	M	1	2	2
sub-118	45	M	1	2	2
sub-119	19	M	1	1	2
sub-120	20	F	1	2	1
sub-121	19	F	1	2	1
sub-122	31	F	0	2	2
sub-123	22	F	1	2	2
sub-124	22	F	1	2	2
sub-125	20	F	1	2	2
sub-126	20	F	0	1	2
sub-127	19	F	1	1	2
sub-128	20	F	1	1	2
sub-129	20	F	1	1	2
sub-130	20	F	1	2	2
sub-131	40	F	1	2	2
