participant_id	sex	age	date
sub-01	f	22	2023-05-23
sub-02	f	22	2023-06-26
sub-03	m	22	2023-06-14
sub-04	f	23	2023-07-05
sub-05	f	24	2023-07-14
sub-06	f	24	2023-11-07
sub-07	m	20	2023-07-26
sub-08	f	26	2023-07-27
sub-09	m	21	2023-07-28
sub-10	f	20	2023-07-30
sub-11	f	22	2023-08-02
sub-12	f	23	2023-08-04
sub-13	f	27	2023-10-26
sub-14	f	20	2023-08-04
sub-15	m	20	2023-08-10
sub-16	m	26	2023-09-04
sub-17	f	21	2023-09-05
sub-18	f	21	2023-09-06
sub-19	f	21	2023-09-07
sub-20	m	18	2023-10-27
sub-21	f	21	2023-09-25
sub-22	m	24	2023-09-25
sub-23	m	23	2023-10-03
sub-24	f	22	2023-10-05
sub-25	m	20	2023-10-14
sub-26	f	25	2023-10-15
sub-27	m	25	2023-10-15
sub-28	f	34	2023-10-17
sub-29	f	20	2023-10-18
sub-30	f	23	2023-10-19
