participant_id	gender	age	handedness	major
sub-001	F	22	right_handed	nursing
sub-002	F	27	right_handed	nursing
sub-003	F	21	right_handed	nursing
sub-004	M	22	right_handed	medicine
sub-005	M	26	right_handed	industrial_automation
sub-006	M	21	right_handed	nursing
sub-007	M	27	right_handed	medicine
sub-008	F	20	right_handed	nursing
sub-009	F	20	right_handed	nursing
sub-010	M	22	right_handed	medicine
sub-011	M	22	right_handed	medicine
sub-012	F	19	left_handed	nursing
sub-013	M	20	right_handed	medicine
sub-014	F	22	right_handed	medicine
sub-015	M	28	right_handed	medicine
sub-016	M	23	right_handed	medicine
sub-017	M	24	right_handed	medicine
sub-018	F	22	right_handed	nursing
sub-019	F	24	right_handed	medicine
sub-020	F	22	left_handed	medicine
sub-021	F	21	right_handed	medicine
sub-022	F	25	right_handed	medicine
sub-023	M	22	right_handed	medicine
sub-024	M	29	right_handed	medicine
sub-025	F	24	right_handed	industrial_engineering
sub-026	F	25	right_handed	medicine
sub-027	F	23	right_handed	medicine
sub-028	F	19	right_handed	medicine
sub-029	M	22	right_handed	medicine
sub-030	M	22	left_handed	medicine
sub-031	M	23	right_handed	medicine
sub-032	M	27	right_handed	medicine
